## SDSS/LSST colors as functions of Mr and FeH ########
## see MSandRGBcolors_v1.3.header
#   Mr      FeH      ug       gr       ri      iz     zy
   2.12   -2.50   1.0178   0.4493   0.1870   0.0992   0.0479 
   2.13   -2.50   1.0166   0.4489   0.1867   0.0990   0.0478 
   2.14   -2.50   1.0155   0.4485   0.1865   0.0987   0.0477 
   2.15   -2.50   1.0143   0.4481   0.1862   0.0985   0.0476 
   2.16   -2.50   1.0131   0.4476   0.1860   0.0983   0.0475 
   2.17   -2.50   1.0120   0.4472   0.1857   0.0981   0.0474 
   2.18   -2.50   1.0108   0.4468   0.1855   0.0979   0.0472 
   2.19   -2.50   1.0097   0.4464   0.1852   0.0976   0.0471 
   2.20   -2.50   1.0085   0.4460   0.1850   0.0974   0.0470 
   2.21   -2.50   1.0073   0.4456   0.1848   0.0972   0.0469 
   2.22   -2.50   1.0062   0.4452   0.1845   0.0970   0.0468 
   2.23   -2.50   1.0050   0.4448   0.1843   0.0968   0.0467 
   2.24   -2.50   1.0039   0.4444   0.1840   0.0965   0.0466 
   2.25   -2.50   1.0027   0.4440   0.1838   0.0963   0.0465 
   2.26   -2.50   1.0015   0.4435   0.1835   0.0961   0.0464 
   2.27   -2.50   1.0004   0.4431   0.1833   0.0959   0.0463 
   2.28   -2.50   0.9992   0.4427   0.1830   0.0957   0.0462 
   2.29   -2.50   0.9980   0.4423   0.1828   0.0954   0.0461 
   2.30   -2.50   0.9969   0.4419   0.1825   0.0952   0.0460 
   2.31   -2.50   0.9957   0.4414   0.1822   0.0950   0.0459 
   2.32   -2.50   0.9945   0.4410   0.1820   0.0948   0.0458 
   2.33   -2.50   0.9934   0.4406   0.1817   0.0945   0.0457 
   2.34   -2.50   0.9922   0.4402   0.1815   0.0943   0.0456 
   2.35   -2.50   0.9910   0.4397   0.1812   0.0941   0.0455 
   2.36   -2.50   0.9898   0.4393   0.1810   0.0939   0.0454 
   2.37   -2.50   0.9887   0.4389   0.1807   0.0937   0.0453 
   2.38   -2.50   0.9875   0.4385   0.1805   0.0934   0.0452 
   2.39   -2.50   0.9864   0.4381   0.1802   0.0932   0.0451 
   2.40   -2.50   0.9852   0.4377   0.1800   0.0930   0.0450 
   2.41   -2.50   0.9841   0.4374   0.1798   0.0928   0.0449 
   2.42   -2.50   0.9830   0.4370   0.1795   0.0926   0.0448 
   2.43   -2.50   0.9819   0.4367   0.1793   0.0924   0.0447 
   2.44   -2.50   0.9808   0.4363   0.1791   0.0922   0.0446 
   2.45   -2.50   0.9796   0.4359   0.1789   0.0920   0.0445 
   2.46   -2.50   0.9785   0.4355   0.1786   0.0918   0.0444 
   2.47   -2.50   0.9773   0.4351   0.1784   0.0916   0.0443 
   2.48   -2.50   0.9761   0.4347   0.1781   0.0913   0.0442 
   2.49   -2.50   0.9749   0.4342   0.1778   0.0911   0.0441 
   2.50   -2.50   0.9736   0.4336   0.1775   0.0908   0.0439 
   2.51   -2.50   0.9723   0.4330   0.1772   0.0905   0.0438 
   2.52   -2.50   0.9710   0.4324   0.1768   0.0901   0.0436 
   2.53   -2.50   0.9696   0.4317   0.1764   0.0898   0.0434 
   2.54   -2.50   0.9681   0.4309   0.1760   0.0894   0.0432 
   2.55   -2.50   0.9667   0.4301   0.1756   0.0891   0.0430 
   2.56   -2.50   0.9651   0.4293   0.1751   0.0887   0.0427 
   2.57   -2.50   0.9636   0.4284   0.1746   0.0881   0.0425 
   2.58   -2.50   0.9620   0.4275   0.1741   0.0877   0.0422 
   2.59   -2.50   0.9604   0.4265   0.1736   0.0872   0.0419 
   2.60   -2.50   0.9587   0.4254   0.1730   0.0867   0.0416 
   2.61   -2.50   0.9570   0.4243   0.1725   0.0862   0.0413 
   2.62   -2.50   0.9553   0.4232   0.1719   0.0856   0.0409 
   2.63   -2.50   0.9535   0.4220   0.1713   0.0851   0.0406 
   2.64   -2.50   0.9517   0.4208   0.1706   0.0845   0.0402 
   2.65   -2.50   0.9498   0.4196   0.1700   0.0839   0.0399 
   2.66   -2.50   0.9480   0.4183   0.1693   0.0833   0.0395 
   2.67   -2.50   0.9460   0.4169   0.1686   0.0826   0.0391 
   2.68   -2.50   0.9441   0.4156   0.1679   0.0820   0.0387 
   2.69   -2.50   0.9421   0.4141   0.1671   0.0813   0.0382 
   2.70   -2.50   0.9401   0.4127   0.1664   0.0806   0.0378 
   2.71   -2.50   0.9381   0.4112   0.1656   0.0799   0.0374 
   2.72   -2.50   0.9360   0.4097   0.1648   0.0791   0.0369 
   2.73   -2.50   0.9339   0.4081   0.1640   0.0784   0.0364 
